23 4 	7 1 8 0 10 8 1 7 3 8 0 10 8 0 8 0 8 0  
23 5 	7 1 9 1 8 2 10 8 2 8 2 7 2 9 0 9 1 8 2 7  
24 1 	7 1 10 9 1 7 2 10 9 1 10 8 2 7 0 8 2 8  
3 1 	7 3 10 8 0 10 8 2 9 0 9 1 10 9 1 7 3 10  
3 3 	7 1 9 1 10 7 1 8 2 7 1 8 2 10 9 0 8 2 8  
3 5 	7 0 7 1 10 9 1 7 1 10 8 1 7 3 7 3 8 0  
4 2 	10 8 2 7 3 10 8 0 10 9 1 9 1 10 10 7 2  
4 5 	10 7 3 8 2 9 1 9 1 10 8 0 8 2 8 2 10 9 1  
5 1 	10 9 0 9 1 9 1 7 3 10 7 3 8 1 7 2 10 10 10  
5 4 	10 8 0 10 8 1 7 1 10 8 1 7 1 9 1 9 1 9  
5 5 	7 3 10 10 8 2 10 8 2 8 1 10 8 2 9 1 8  
6 2 	10 8 1 9 0 9 1 7 1 9 1 9 1 10 10 7 3 9  
6 3 	10 10 7 3 10 10 10 10 7 2 9 1 7 3 10  
6 5 	10 8 2 10 8 2 8 1 7 2 8 1 8 2 10 10 9 1  
7 2 	10 9 1 7 1 8 1 8 1 7 0 9 0 8 1 7 2 7 1  
7 3 	7 3 7 3 10 10 7 3 9 1 9 1 10 7 1 10 7 2  
7 5 	10 8 1 9 1 8 2 9 0 8 2 9 1 9 1 8 2 7 1  
8 1 	10 10 7 2 9 1 9 1 7 2 7 3 8 1 10 7 3 8  
9 1 	10 10 8 2 10 10 7 2 9 1 10 7 3 9 1 8  
9 2 	7 3 10 7 0 9 1 7 1 9 0 9 1 9 1 8 0 7 3 7  
16 4 	7 3 7 3 9 0 10 7 3 8 2 10 10 8 2 9 1 9  
1 2 	7 3 9 1 9 1 8 1 8 2 9 0 7 2 7 3 7 3 8 2 10  
1 3 	8 1 10 8 2 8 2 8 2 10 7 1 7 0 7 0 8 2 7  
11 1 	8 2 10 10 9 1 10 8 2 8 2 9 1 8 2 7 3 7  
12 1 	8 1 8 2 10 7 1 7 3 10 7 2 9 1 9 1 7 1  
12 4 	8 1 10 9 1 7 1 8 1 9 0 7 3 7 1 8 0 10 10 9  
12 5 	7 3 8 1 7 3 10 9 1 7 1 8 0 8 1 10 7 3 8  
13 3 	8 1 7 1 10 10 8 1 7 3 8 0 9 0 9 1 8 2 7  
15 2 	8 1 7 1 10 10 8 0 7 2 10 9 1 10 10 8 0  
16 1 	7 3 9 1 7 1 7 2 8 0 10 9 1 7 3 8 2 10 10 8  
16 3 	8 0 9 1 7 2 9 1 8 1 8 1 9 1 9 1 8 2 10 10 10  
17 1 	8 1 9 1 9 1 7 2 7 1 9 1 8 0 8 2 10 7 1  
17 2 	8 2 10 8 0 10 8 1 10 7 3 8 2 9 1 10 10 9  
19 3 	8 1 7 1 9 1 10 10 7 3 10 8 1 7 1 9 1 7  
19 4 	8 1 9 1 10 10 7 3 8 2 8 2 7 3 7 3 10 7 1  
2 1 	8 2 10 8 2 7 1 8 2 8 1 9 1 9 1 8 1 9 1 8  
20 3 	8 0 7 3 10 10 7 3 7 3 10 7 3 7 1 7 3 7  
23 1 	7 3 8 2 9 1 10 10 9 1 10 10 10 8 2 9  
23 2 	7 3 9 1 7 1 10 9 1 9 0 9 0 9 1 9 1 7 0  
24 2 	8 1 10 8 1 8 0 8 1 7 1 7 3 10 9 1 9 0  
24 3 	7 3 8 2 8 2 10 9 1 9 1 7 1 9 1 7 3 7 3 8  
24 5 	7 3 9 1 7 3 7 1 8 2 7 2 8 1 10 7 3 10 7 1  
25 1 	8 1 10 7 1 8 1 8 1 9 1 10 7 3 8 2 10 10 10  
5 2 	8 1 8 1 8 2 8 2 9 1 8 0 8 2 7 1 8 0 8 2 8  
6 4 	7 3 8 2 10 7 3 10 9 1 9 1 10 9 1 9 1 9  
7 4 	7 3 9 1 7 3 8 2 9 1 9 1 7 0 10 7 0 10 7 1  
8 3 	8 0 9 1 9 1 9 1 8 2 7 3 7 3 7 1 8 1 10 7 3  
9 3 	8 0 8 2 8 1 7 1 9 1 9 0 8 2 10 8 2 8 2 8  
9 4 	8 0 9 1 10 8 2 9 0 7 1 10 10 7 3 7 3 9  
9 5 	7 3 9 0 9 1 10 9 1 7 0 7 1 8 2 8 2 10 8 1  
19 2 	8 2 10 9 1 10 8 2 10 8 2 7 1 7 3 7 3 10  
10 2 	9 1 10 9 1 10 9 0 10 7 3 8 2 9 1 10 10 9  
10 3 	9 0 9 1 9 1 9 1 7 3 10 7 0 9 1 7 3 9 1 8  
11 5 	8 2 8 2 9 1 9 0 9 1 8 2 10 8 2 8 2 9 1 7  
12 2 	9 1 10 8 2 10 9 1 8 2 7 3 8 1 7 3 8 2 7  
13 2 	8 2 9 0 9 0 9 1 9 1 9 1 9 1 7 1 8 1 7 3 10  
13 4 	8 2 9 0 7 0 9 1 10 9 1 7 3 8 2 10 7 1  
14 1 	8 2 8 0 9 1 9 1 10 7 2 8 0 8 0 10 7 0  
14 2 	9 1 9 1 10 7 2 9 1 9 1 7 1 7 2 9 1 10 8 2  
15 1 	9 0 10 7 1 9 1 9 0 9 1 7 2 7 1 7 3 7 3 9  
15 3 	9 1 7 2 9 1 8 2 10 8 1 7 2 10 10 7 1  
15 4 	9 1 8 2 7 1 10 10 9 1 8 1 8 2 10 10 8 2  
16 2 	9 0 9 0 7 2 7 1 10 8 1 7 3 8 2 8 2 10 10 10  
17 4 	8 2 7 3 7 3 8 0 7 3 10 10 8 1 8 0 10 7 0  
17 5 	8 2 9 1 10 10 7 0 10 10 9 0 10 8 2 9  
18 2 	8 2 8 2 10 7 3 9 1 7 3 7 3 7 3 9 1 9 1 7  
18 3 	8 2 8 2 8 1 9 1 10 9 1 10 9 1 8 2 9 1 7  
19 1 	8 2 9 1 10 10 7 0 9 1 8 0 9 1 7 2 9 1 10  
2 3 	8 2 10 9 1 10 9 1 7 1 8 2 8 0 9 1 8 2 8  
22 1 	9 1 9 0 7 0 9 1 7 3 7 2 8 2 8 2 9 1 7 1  
22 3 	9 1 9 0 10 10 7 3 10 7 3 8 2 10 10 8 2  
22 4 	8 2 7 3 9 1 8 2 10 8 2 7 3 10 8 1 10 7 1  
10 1 	9 1 9 1 9 1 7 0 7 3 7 3 9 1 9 1 8 2 10 10 10  
11 2 	9 1 9 1 10 9 1 10 9 1 8 1 7 3 9 1 8 2 10  
11 4 	9 1 9 1 9 1 9 1 10 8 2 9 1 10 8 1 9 1 8  
13 5 	9 1 9 1 8 1 7 3 8 2 10 9 0 10 7 1 7 3 10  
18 1 	9 1 9 1 7 3 9 0 10 8 0 7 1 7 3 8 2 10 9 1  
22 5 	9 1 7 3 9 1 8 1 8 2 8 1 8 1 7 2 7 1 9 1 10  
23 3 	9 0 10 9 1 10 8 2 7 1 7 3 8 1 9 1 9 1 7  
24 4 	9 1 8 2 10 7 3 8 2 8 0 8 1 8 2 8 2 7 3 9  
25 2 	9 1 7 1 10 8 1 8 2 9 1 10 7 3 10 9 1 7  
25 3 	9 1 10 9 1 9 1 7 3 8 0 10 9 0 8 1 7 3 10  
25 4 	8 2 9 1 10 10 8 2 10 10 8 2 9 1 9 0  
25 5 	9 1 10 10 7 1 8 2 8 2 8 2 10 7 3 8 1
3 2 	9 1 10 7 3 8 1 8 1 7 3 10 7 1 9 1 10 10 9  
3 4 	9 1 7 2 7 3 8 1 8 2 9 1 9 1 8 1 9 0 7 0  
4 1 	9 1 7 3 10 10 7 3 10 10 10 7 1 8 1  
4 3 	8 2 7 3 7 3 7 3 9 0 9 1 10 8 2 7 3 7 0  
4 4 	8 2 7 1 9 1 7 3 7 3 7 3 7 3 10 7 0 9 0  
5 3 	9 1 9 0 7 3 9 0 8 1 10 8 1 9 1 9 1 7 3 7  
6 1 	8 2 9 0 9 0 8 2 7 2 9 1 7 2 10 9 1 10 7 3  
7 1 	9 1 10 9 1 7 3 8 2 7 1 9 1 9 1 8 2 10 8 1  
8 2 	9 1 10 10 10 8 0 7 1 7 1 10 9 0 8 1  
8 4 	9 1 8 0 8 0 7 3 7 3 10 8 2 7 3 9 0 10 7 1  
8 5 	9 0 9 1 8 2 10 9 1 10 8 2 10 8 2 7 1
